country,iso_code,first_year,last_year,n_years,is_micro_state,fuel_structure_unreliable,cohort_reason
Afghanistan,AFG,1992,2021,30,False,False,main_cohort
Albania,ALB,1992,2021,30,False,False,main_cohort
Algeria,DZA,1992,2021,30,False,False,main_cohort
Andorra,AND,1992,2021,30,False,False,main_cohort
Angola,AGO,1992,2021,30,False,False,main_cohort
Anguilla,AIA,1992,2021,30,True,False,micro_state
Antigua and Barbuda,ATG,1992,2021,30,False,False,main_cohort
Argentina,ARG,1992,2021,30,False,False,main_cohort
Armenia,ARM,1992,2021,30,False,False,main_cohort
Aruba,ABW,1992,2021,30,False,False,main_cohort
Australia,AUS,1992,2021,30,False,False,main_cohort
Austria,AUT,1992,2021,30,False,False,main_cohort
Azerbaijan,AZE,1992,2021,30,False,False,main_cohort
Bahamas,BHS,1992,2021,30,False,False,main_cohort
Bahrain,BHR,1992,2021,30,False,False,main_cohort
Bangladesh,BGD,1992,2021,30,False,False,main_cohort
Barbados,BRB,1992,2021,30,False,False,main_cohort
Belarus,BLR,1992,2021,30,False,False,main_cohort
Belgium,BEL,1992,2021,30,False,False,main_cohort
Belize,BLZ,1992,2021,30,False,False,main_cohort
Benin,BEN,1992,2021,30,False,False,main_cohort
Bermuda,BMU,1992,2021,30,False,False,main_cohort
Bhutan,BTN,1992,2021,30,False,False,main_cohort
Bolivia,BOL,1992,2021,30,False,False,main_cohort
Bonaire Sint Eustatius and Saba,BES,1992,2021,30,True,False,micro_state
Bosnia and Herzegovina,BIH,1992,2021,30,False,False,main_cohort
Botswana,BWA,1992,2021,30,False,False,main_cohort
Brazil,BRA,1992,2021,30,False,False,main_cohort
British Virgin Islands,VGB,1992,2021,30,True,False,micro_state
Brunei,BRN,1992,2021,30,False,False,main_cohort
Bulgaria,BGR,1992,2021,30,False,False,main_cohort
Burkina Faso,BFA,1992,2021,30,False,False,main_cohort
Burundi,BDI,1992,2021,30,False,False,main_cohort
Cambodia,KHM,1992,2021,30,False,False,main_cohort
Cameroon,CMR,1992,2021,30,False,False,main_cohort
Canada,CAN,1992,2021,30,False,False,main_cohort
Cape Verde,CPV,1992,2021,30,False,False,main_cohort
Central African Republic,CAF,1992,2021,30,False,False,main_cohort
Chad,TCD,1992,2021,30,False,False,main_cohort
Chile,CHL,1992,2021,30,False,False,main_cohort
China,CHN,1992,2021,30,False,False,main_cohort
Colombia,COL,1992,2021,30,False,False,main_cohort
Comoros,COM,1992,2021,30,False,False,main_cohort
Congo,COG,1992,2021,30,False,False,main_cohort
Cook Islands,COK,1992,2021,30,True,False,micro_state
Costa Rica,CRI,1992,2021,30,False,False,main_cohort
Cote d'Ivoire,CIV,1992,2021,30,False,False,main_cohort
Croatia,HRV,1992,2021,30,False,False,main_cohort
