country,iso_code,log_recent_per_capita,long_term_log_slope,recent_log_slope,slope_acceleration,growth_volatility_mad,peak_timing,post_peak_change,recent_coal_share,recent_gas_share,coal_share_change,gas_share_change,cluster,PC1,PC2,PC3,PC4
Afghanistan,AFG,0.24294617861038947,0.06280870707922862,-0.011749865571309187,-0.07455857265053781,9.651,0.6551724137931034,-0.16352201257861632,0.315865662999421,0.0237405906195715,0.3047380665602519,-0.22030273068006748,0,6.184094268442831,-1.831222307467428,-3.1083719462447603,1.6084629550271423
Albania,ALB,1.0278321066070624,0.04318498645474872,-0.0033778034175022055,-0.046562789872250925,6.851999999999999,0.7241379310344828,-0.049211528004350205,0.1614451030200395,0.0268134349421394,0.071215524803275,-0.0260429451966753,1,1.4722414884244706,-0.6209272950439785,-1.0919306224883853,1.512214568004263
Algeria,DZA,1.6227489264937727,0.011637211220302509,0.01190435005414066,0.0002671388338381514,2.907,0.896551724137931,-0.031067251461988292,0.0075979790409489,0.6060641184732658,-0.021546912271631503,0.059249000697002896,1,-0.5219155635920948,0.1748872754642389,0.6976038221658132,-0.0738484960753611
Andorra,AND,2.002290482491421,-0.007549725704119197,-0.01990163042898807,-0.012351904724868874,1.9449999999999998,0.3103448275862069,-0.3631347962382444,0.0,0.0084566596194503,0.0,0.0084566596194503,1,-0.45231622802231325,-0.3441602504558985,-0.9184352790858543,-0.7190779344402646
Angola,AGO,0.5223588595796638,-0.002776274617032147,-0.07848048629435112,-0.07570421167731897,6.455500000000001,0.20689655172413793,-0.5169880624426079,0.0,0.1453185761292252,0.0,-0.11280950268850878,1,-0.728242415918208,-1.6629159892292689,-3.10867812754683,0.44477916152621033
Antigua and Barbuda,ATG,2.0501414559682836,0.021543792907749992,0.009915722046030914,-0.011628070861719079,1.7809999999999997,0.9655172413793104,-0.011802418767302987,0.0,0.0,0.0,0.0,1,0.09285796092971113,0.421625121639914,-0.3423756699586412,0.6122480479311356
Argentina,ARG,1.6266882658406279,0.007039996911865924,-0.017079264602480573,-0.024119261514346495,3.2255,0.6551724137931034,-0.1378931163404442,0.0235707480408192,0.5443399966022991,-0.0034365448844347994,0.12447090417598905,1,-0.6141767592097985,-1.1245979299046778,0.5611657454716911,-0.041766753282195326
Armenia,ARM,1.1518370499054076,0.034926322654596983,0.028810958707747792,-0.0061153639468491915,8.6475,1.0,0.0,0.0018509170452633,0.8224802288406529,-0.004342311691318,0.20423698559740966,1,-0.2182449035284106,-0.48570227089714146,2.1992092202685,0.8292677974949766
Aruba,ABW,2.1977799786279193,-0.009526125969998496,-0.034807659124539696,-0.0252815331545412,2.688,0.4827586206896552,-0.7284623394654633,0.0,0.0,0.0,0.0,1,-0.6961591078906085,-0.9762441435507914,-1.4974559736558843,-0.897655399720588
Australia,AUS,2.849723359418356,-0.0021252053588481402,-0.014428536361906982,-0.012303331003058842,0.845,0.4482758620689655,-0.19905824170042624,0.4250939709089784,0.2070324786148507,-0.11488662380593517,0.0749338541071172,1,-2.5521059379568825,0.06241741658682161,-0.27322851809102566,-0.6701524849839099
