country,iso_code,gmm_component_0_probability,gmm_component_1_probability,gmm_component,gmm_max_probability
Afghanistan,AFG,0.0009325641385507567,0.9990674358614484,1,0.9990674358614484
Albania,ALB,0.9882674153288994,0.011732584671100638,0,0.9882674153288994
Algeria,DZA,0.9922456853833127,0.007754314616687211,0,0.9922456853833127
Andorra,AND,0.9750148977325348,0.024985102267465295,0,0.9750148977325348
Angola,AGO,0.12210620865141,0.8778937913485891,1,0.8778937913485891
Antigua and Barbuda,ATG,0.9977984826091888,0.002201517390810912,0,0.9977984826091888
Argentina,ARG,0.9628478924444505,0.03715210755554926,0,0.9628478924444505
Armenia,ARM,0.9106322000502232,0.08936779994977606,0,0.9106322000502232
Aruba,ABW,0.9409569388609362,0.059043061139063685,0,0.9409569388609362
Australia,AUS,0.9899560528805458,0.010043947119454031,0,0.9899560528805458
Austria,AUT,0.9868665036281203,0.013133496371879464,0,0.9868665036281203
Azerbaijan,AZE,0.684815967521763,0.3151840324782367,0,0.684815967521763
Bahamas,BHS,0.9954267853902329,0.004573214609767236,0,0.9954267853902329
Bahrain,BHR,0.9696375496389285,0.030362450361071727,0,0.9696375496389285
Bangladesh,BGD,0.9969963337320382,0.00300366626796194,0,0.9969963337320382
Barbados,BRB,0.9751752950095024,0.024824704990497763,0,0.9751752950095024
Belarus,BLR,0.8774314980969384,0.12256850190306176,0,0.8774314980969384
Belgium,BEL,0.9699359538264511,0.030064046173548832,0,0.9699359538264511
Belize,BLZ,0.9922303776569261,0.0077696223430742,0,0.9922303776569261
Benin,BEN,0.9965215472738332,0.0034784527261667382,0,0.9965215472738332
Bermuda,BMU,0.9923819868288364,0.007618013171163539,0,0.9923819868288364
Bhutan,BTN,0.9605862094887561,0.03941379051124454,0,0.9605862094887561
Bolivia,BOL,0.9943254504311119,0.005674549568888227,0,0.9943254504311119
Bosnia and Herzegovina,BIH,0.11065863252753426,0.8893413674724664,1,0.8893413674724664
Botswana,BWA,0.9995588609400212,0.0004411390599790405,0,0.9995588609400212
Brazil,BRA,0.9852655569185446,0.014734443081455542,0,0.9852655569185446
Brunei,BRN,0.9574507856265979,0.04254921437340217,0,0.9574507856265979
Bulgaria,BGR,0.9828644714588345,0.017135528541165384,0,0.9828644714588345
Burkina Faso,BFA,0.9999869867089659,1.3013291034161804e-05,0,0.9999869867089659
Burundi,BDI,0.999502316265899,0.0004976837341009991,0,0.999502316265899
Cambodia,KHM,0.022185344819737607,0.9778146551802628,1,0.9778146551802628
Cameroon,CMR,0.9573130302617877,0.04268696973821238,0,0.9573130302617877
Canada,CAN,0.9850192735080667,0.014980726491933091,0,0.9850192735080667
Cape Verde,CPV,0.9995802964702315,0.0004197035297684095,0,0.9995802964702315
Central African Republic,CAF,0.9279266098733396,0.07207339012665975,0,0.9279266098733396
Chad,TCD,0.998150341012627,0.0018496589873731747,0,0.998150341012627
Chile,CHL,0.974205306360969,0.02579469363903081,0,0.974205306360969
China,CHN,0.9983363675447225,0.0016636324552775884,0,0.9983363675447225
Colombia,COL,0.9944937227605868,0.00550627723941335,0,0.9944937227605868
