iso_code,country,region
ABW,Aruba,North America
AFG,Afghanistan,Asia
AGO,Angola,Africa
AIA,Anguilla,North America
ALB,Albania,Europe
AND,Andorra,Europe
ARE,United Arab Emirates,Asia
ARG,Argentina,South America
ARM,Armenia,Asia
ATG,Antigua and Barbuda,North America
AUS,Australia,Oceania
AUT,Austria,Europe
AZE,Azerbaijan,Asia
BDI,Burundi,Africa
BEL,Belgium,Europe
BEN,Benin,Africa
BES,Bonaire Sint Eustatius and Saba,North America
BFA,Burkina Faso,Africa
BGD,Bangladesh,Asia
BGR,Bulgaria,Europe
BHR,Bahrain,Asia
BHS,Bahamas,North America
BIH,Bosnia and Herzegovina,Europe
BLR,Belarus,Europe
BLZ,Belize,North America
BMU,Bermuda,North America
BOL,Bolivia,South America
BRA,Brazil,South America
BRB,Barbados,North America
BRN,Brunei,Asia
BTN,Bhutan,Asia
BWA,Botswana,Africa
CAF,Central African Republic,Africa
CAN,Canada,North America
CHE,Switzerland,Europe
CHL,Chile,South America
CHN,China,Asia
CIV,Cote d'Ivoire,Africa
CMR,Cameroon,Africa
COD,Democratic Republic of Congo,Africa
COG,Congo,Africa
COK,Cook Islands,Oceania
COL,Colombia,South America
COM,Comoros,Africa
CPV,Cape Verde,Africa
CRI,Costa Rica,North America
CUB,Cuba,North America
CUW,Curacao,North America
CYP,Cyprus,Europe
CZE,Czechia,Europe
DEU,Germany,Europe
DJI,Djibouti,Africa
DMA,Dominica,North America
DNK,Denmark,Europe
DOM,Dominican Republic,North America
DZA,Algeria,Africa
ECU,Ecuador,South America
EGY,Egypt,Africa
ERI,Eritrea,Africa
ESP,Spain,Europe
EST,Estonia,Europe
ETH,Ethiopia,Africa
FIN,Finland,Europe
FJI,Fiji,Oceania
FRA,France,Europe
FRO,Faroe Islands,Europe
FSM,Micronesia (country),Oceania
GAB,Gabon,Africa
GBR,United Kingdom,Europe
GEO,Georgia,Asia
GHA,Ghana,Africa
GIN,Guinea,Africa
GMB,Gambia,Africa
GNB,Guinea-Bissau,Africa
GNQ,Equatorial Guinea,Africa
GRC,Greece,Europe
GRD,Grenada,North America
GRL,Greenland,North America
GTM,Guatemala,North America
GUY,Guyana,South America
HKG,Hong Kong,Asia
HND,Honduras,North America
HRV,Croatia,Europe
HTI,Haiti,North America
HUN,Hungary,Europe
IDN,Indonesia,Asia
IND,India,Asia
IRL,Ireland,Europe
IRN,Iran,Asia
IRQ,Iraq,Asia
ISL,Iceland,Europe
ISR,Israel,Asia
ITA,Italy,Europe
JAM,Jamaica,North America
JOR,Jordan,Asia
JPN,Japan,Asia
KAZ,Kazakhstan,Asia
KEN,Kenya,Africa
KGZ,Kyrgyzstan,Asia
KHM,Cambodia,Asia
KIR,Kiribati,Oceania
KNA,Saint Kitts and Nevis,North America
KOR,South Korea,Asia
KWT,Kuwait,Asia
LAO,Laos,Asia
LBN,Lebanon,Asia
LBR,Liberia,Africa
LBY,Libya,Africa
LCA,Saint Lucia,North America
LIE,Liechtenstein,Europe
LKA,Sri Lanka,Asia
LSO,Lesotho,Africa
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
LVA,Latvia,Europe
MAC,Macao,Asia
MAR,Morocco,Africa
MDA,Moldova,Europe
MDG,Madagascar,Africa
MDV,Maldives,Asia
MEX,Mexico,North America
MHL,Marshall Islands,Oceania
MKD,North Macedonia,Europe
MLI,Mali,Africa
MLT,Malta,Europe
MMR,Myanmar,Asia
MNE,Montenegro,Europe
MNG,Mongolia,Asia
MOZ,Mozambique,Africa
MRT,Mauritania,Africa
MSR,Montserrat,North America
MUS,Mauritius,Africa
MWI,Malawi,Africa
MYS,Malaysia,Asia
NAM,Namibia,Africa
NCL,New Caledonia,Oceania
NER,Niger,Africa
NGA,Nigeria,Africa
NIC,Nicaragua,North America
NIU,Niue,Oceania
NLD,Netherlands,Europe
NOR,Norway,Europe
NPL,Nepal,Asia
NRU,Nauru,Oceania
NZL,New Zealand,Oceania
OMN,Oman,Asia
PAK,Pakistan,Asia
PAN,Panama,North America
PER,Peru,South America
PHL,Philippines,Asia
PLW,Palau,Oceania
PNG,Papua New Guinea,Oceania
POL,Poland,Europe
PRK,North Korea,Asia
PRT,Portugal,Europe
PRY,Paraguay,South America
PSE,Palestine,Asia
PYF,French Polynesia,Oceania
QAT,Qatar,Asia
ROU,Romania,Europe
RUS,Russia,Europe
RWA,Rwanda,Africa
SAU,Saudi Arabia,Asia
SDN,Sudan,Africa
SEN,Senegal,Africa
SGP,Singapore,Asia
SHN,Saint Helena,Africa
